,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
aCosPhi_L1_mean,0.018243640339743718,0.00844951700681773,0.2995413409179693,3.0,27.0,12.0,14.0
aPowerFactorPF_L2_change_point_score,0.017145081630862903,0.05663087965236202,0.25809937282335266,7.0,4.0,34.0,15.0
aPowerFactorPF_L2_mean,0.013126572281564351,0.0048471528846245615,0.3072654370459327,15.0,39.0,2.0,18.666666666666668
aVoltage_L1_N_mean,0.017809303005165422,0.00627706072044143,0.25869297178548856,6.0,28.0,32.0,22.0
aVoltage_L3_N_mean,0.018009410005640502,0.005920690043084598,0.24934203293653945,4.0,30.0,37.0,23.666666666666668
aPowerFactorPF_L2_ks_test_statistic,0.01201438616367795,0.031930218091895224,0.24866910246988919,16.0,18.0,38.0,24.0
aCosPhi_L3_mean,0.013910827291668888,0.0053905362055859385,0.2626570197814434,10.0,33.0,29.0,24.0
aPowerFactorPF_L2_welch_total_power,0.014284146796222091,0.005926749837854572,0.24186780275542494,9.0,29.0,40.0,26.0
aPowerFactorPF_L2_std,0.013646700272353308,0.005756434132800914,0.24384785177147644,13.0,31.0,39.0,27.666666666666668
aCosPhi_L2_mean,0.011919236720486115,0.005123819119543516,0.25812380458449946,17.0,36.0,33.0,28.666666666666668
rTotalApparentEnergy_mean,0.02837725605153587,0.27701148630794936,0.12237532910752753,2.0,1.0,83.0,28.666666666666668
airTotal_mean,0.03142642544788574,0.26807037138064527,0.11891091124893508,1.0,2.0,84.0,29.0
aVoltage_L2_N_mean,0.01518880685456251,0.004823320538413833,0.24141691464754095,8.0,40.0,42.0,30.0
aCosPhi_L1_change_point_score,0.010732041713167995,0.049306546390283756,0.21834668231248527,24.0,10.0,60.0,31.333333333333332
aCosPhi_L3_change_point_score,0.011168078958909271,0.04701787237523658,0.21367272175508162,21.0,15.0,66.0,34.0
aCosPhi_L2_change_point_score,0.010760461560763022,0.04891846980737058,0.20482095788158636,23.0,11.0,69.0,34.333333333333336
aCosPhi_L1_ks_test_statistic,0.013817486342662125,0.047129240391792004,0.1639482810345006,11.0,14.0,80.0,35.0
rTotalReactiveEnergy_mean,0.017911544824210333,0.025110649480095226,0.1394119309618703,5.0,19.0,81.0,35.0
aVoltage_L2_N_change_point_score,0.01379882567598377,0.015347645573748014,0.19325429257159255,12.0,22.0,72.0,35.333333333333336
aCosPhi_L3_freq_energy_ratio_low_high,0.010255516640191795,0.002498138559699159,0.2801541598710745,27.0,61.0,19.0,35.666666666666664
aCosPhi_L3_spectral_flatness,0.009932260068304733,0.0034197000572582237,0.27214008841609216,32.0,53.0,23.0,36.0
aCosPhi_L2_ks_test_statistic,0.01093432654535297,0.03241019611635876,0.19586561584371492,22.0,17.0,71.0,36.666666666666664
aVoltage_L3_N_change_point_score,0.013226269505284856,0.014655723097739104,0.18958099525611538,14.0,23.0,74.0,37.0
aCosPhi_L3_ks_test_statistic,0.01171233525824978,0.04299647953382246,0.1677020581948036,18.0,16.0,79.0,37.666666666666664
aVoltage_L2_N_welch_total_power,0.011692598634615987,0.005278438944984254,0.21674548722763717,19.0,35.0,62.0,38.666666666666664
airTotal_freq_energy_ratio_low_high,0.00889352295800365,0.02035134780851644,0.23683207872658857,53.0,21.0,44.0,39.333333333333336
